Course_ID,Learners_Enrolled,Exam_Registration
noc26_hs194,13262,1812
noc26_hs195,348,40
noc26_hs196,251,11
noc26_hs197,750,21
noc26_hs198,4261,164
noc26_hs199,2627,171
noc26_hs200,2610,116
noc26_hs201,577,11
noc26_hs202,211,8
noc26_hs203,14959,1990
noc26_hs204,1367,97
noc26_hs206,15032,2918
noc26_hs207,636,62
noc26_hs208,8799,835
noc26_hs209,1792,65
noc26_hs210,14460,3887
noc26_hs211,9126,802
noc26_hs212,282,28
noc26_hs213,1147,410
noc26_hs214,1366,64
noc26_hs215,1103,63
noc26_hs216,5333,560
noc26_hs217,544,43
noc26_hs218,570,48
noc26_hs219,933,43
noc26_hs220,836,87
noc26_hs221,335,19
noc26_hs222,1528,81
noc26_hs223,475,7
noc26_hs224,5286,191
noc26_hs225,1237,78
noc26_hs226,1280,41
noc26_hs228,319,7
noc26_hs229,162,4
noc26_hs230,832,185
noc26_hs231,2592,107
noc26_hs232,4084,174
noc26_hs233,253,19
noc26_hs234,375,24
noc26_hs235,1341,150
noc26_hs236,2620,71
noc26_hs237,893,59
noc26_hs238,725,91
noc26_hs239,214,10
noc26_hs240,916,31
noc26_hs241,4126,169
noc26_hs242,2649,134
noc26_hs243,1607,79
noc26_hs244,1322,81
noc26_hs245,1062,35
noc26_hs246,435,23
noc26_hs247,2159,174
noc26_hs248,725,32
noc26_hs249,28963,2080
noc26_hs250,669,35
noc26_hs251,484,15
noc26_hs252,6344,1204
noc26_hs253,894,61
noc26_hs254,1654,128
noc26_lw11,4223,181
noc26_lw12,888,38
noc26_lw13,641,44
noc26_lw14,1408,117
noc26_lw15,731,86
noc26_lw16,732,40
noc26_lw17,1337,71
noc26_lw18,426,11
noc26_lw19,1426,49
noc26_lw20,2035,100
noc26_lw21,2072,108
noc26_lw22,6982,281
noc26_lw23,1214,46
noc26_lw24,1687,110
noc26_lw25,1175,4
noc26_lw26,5109,347
noc26_lw27,773,16
noc26_lw28,1202,24
noc26_ma100,1717,38
noc26_ma101,244,11
noc26_ma102,4016,76
noc26_ma103,192,4
noc26_ma104,371,25
noc26_ma105,172,2
noc26_ma106,218,5
noc26_ma107,1073,42
noc26_ma108,700,64
noc26_ma109,706,45
noc26_ma110,606,16
noc26_ma111,120,1
noc26_ma112,97,4
noc26_ma113,540,5
noc26_ma114,381,7
noc26_ma115,614,15
noc26_ma116,1082,9
noc26_ma117,122,1
noc26_ma118,152,3
noc26_ma119,2174,124
noc26_ma120,234,3
noc26_ma121,573,8
noc26_ma122,1272,19
noc26_ma123,2669,429
noc26_ma124,195,7
noc26_ma125,181,5
noc26_ma126,888,16
noc26_ma127,283,7
noc26_ma128,155,0
noc26_ma129,1580,30
noc26_ma130,1927,50
noc26_ma131,709,28
noc26_ma132,413,6
noc26_ma133,2433,140
noc26_ma134,256,3
noc26_ma135,414,6
noc26_ma136,166,2
noc26_ma137,403,6
noc26_ma138,230,2
noc26_ma139,1665,18
noc26_ma140,2743,76
noc26_ma141,514,8
noc26_ma142,177,9
